# INA219 monitor ready | sda=41 scl=42 sample_period_ms=100 calibration=16V_400mA
elapsed_ms	bus_voltage_V	shunt_voltage_mV	load_voltage_V	current_mA	power_mW
14	5.0200	-10.4700	5.0095	104.9000	526.0000
117	5.0240	-10.6100	5.0134	103.8000	521.0000
220	5.0200	-10.4300	5.0096	116.5000	585.0000
323	5.0240	-10.4300	5.0136	104.0000	519.0000
426	5.0200	-10.4200	5.0096	121.1000	608.0000
529	5.0240	-10.3800	5.0136	108.6000	546.0000
632	5.0120	-11.5400	5.0005	132.1000	662.0000
735	5.0240	-10.6200	5.0134	104.0000	523.0000
838	5.0200	-10.3800	5.0096	103.7000	521.0000
941	5.0240	-10.3600	5.0136	103.7000	521.0000
1044	5.0120	-10.4200	5.0016	103.6000	523.0000
1147	5.0240	-11.1400	5.0129	104.6000	524.0000
1250	5.0240	-10.4400	5.0136	105.2000	528.0000
1353	5.0240	-10.4600	5.0135	104.6000	526.0000
1456	5.0240	-10.4600	5.0135	110.2000	585.0000
1559	5.0200	-11.5000	5.0085	100.6000	505.0000
1662	5.0240	-10.4000	5.0136	103.7000	521.0000
1765	5.0280	-10.3400	5.0177	103.5000	519.0000
1868	5.0240	-12.1500	5.0119	103.5000	523.0000
1971	5.0200	-10.4000	5.0096	104.0000	523.0000
2074	5.0240	-10.4700	5.0135	106.4000	526.0000
2177	5.0200	-10.4300	5.0096	103.9000	523.0000
2280	5.0240	-10.4400	5.0136	104.7000	526.0000
2383	5.0160	-11.6700	5.0043	109.1000	549.0000
2486	5.0240	-10.3900	5.0136	103.5000	519.0000
2589	5.0160	-10.4800	5.0055	117.3000	585.0000
2692	5.0240	-12.1000	5.0119	105.3000	529.0000
2795	5.0200	-10.5200	5.0095	106.0000	531.0000
2898	5.0240	-10.4000	5.0136	105.1000	528.0000
3001	5.0200	-10.5200	5.0095	107.5000	532.0000
3104	5.0240	-10.5100	5.0135	111.0000	557.0000
3207	5.0160	-10.9700	5.0050	122.1000	562.0000
3310	5.0240	-10.5200	5.0135	104.4000	524.0000
3413	5.0200	-11.7200	5.0083	104.7000	560.0000
3516	5.0240	-10.4400	5.0136	104.4000	524.0000
3619	5.0240	-10.4200	5.0136	103.9000	578.0000
3722	5.0240	-10.3800	5.0136	103.7000	521.0000
3825	5.0240	-10.3600	5.0136	103.7000	523.0000
3928	5.0200	-10.4500	5.0096	99.2000	498.0000
4031	5.0240	-10.4900	5.0135	117.0000	587.0000
4134	5.0200	-10.7600	5.0092	104.5000	524.0000
4237	5.0240	-10.4800	5.0135	104.7000	526.0000
4340	5.0080	-12.3200	4.9957	123.0000	616.0000
4443	5.0120	-12.3700	4.9996	126.7000	636.0000
4546	5.0120	-12.3600	4.9996	123.4000	624.0000
4649	5.0200	-11.6200	5.0084	116.8000	587.0000
4752	5.0240	-10.4200	5.0136	103.8000	524.0000
4855	5.0240	-10.5600	5.0134	104.4000	524.0000
4958	5.0160	-11.7800	5.0042	110.9000	526.0000
5061	5.0240	-10.5000	5.0135	103.9000	523.0000
5164	5.0240	-10.3700	5.0136	103.7000	523.0000
5267	5.0240	-10.3700	5.0136	103.8000	521.0000
5370	5.0240	-10.4100	5.0136	105.7000	523.0000
5473	5.0200	-10.4000	5.0096	104.4000	524.0000
5576	5.0200	-10.4400	5.0096	104.7000	524.0000
5679	5.0200	-10.4700	5.0095	104.3000	524.0000
5782	5.0200	-10.3800	5.0096	117.1000	588.0000
5885	5.0240	-11.2300	5.0128	103.9000	523.0000
5988	5.0240	-10.3800	5.0136	103.7000	521.0000
6091	5.0120	-10.4000	5.0016	104.6000	526.0000
6194	5.0240	-10.4300	5.0136	104.0000	523.0000
6297	5.0200	-12.0900	5.0079	104.4000	511.0000
6400	5.0240	-10.4500	5.0136	101.1000	508.0000
6503	5.0240	-10.3600	5.0136	100.9000	506.0000
6606	5.0240	-11.2700	5.0127	113.8000	570.0000
6709	5.0240	-11.4400	5.0126	101.3000	524.0000
6812	5.0280	-10.0800	5.0179	104.4000	524.0000
6915	5.0240	-10.5400	5.0135	104.6000	524.0000
7018	5.0200	-10.2500	5.0097	104.6000	524.0000
7121	5.0120	-10.4400	5.0016	103.9000	528.0000
7224	5.0200	-10.3600	5.0096	104.8000	526.0000
7327	5.0200	-10.4500	5.0096	104.9000	526.0000
7430	5.0240	-10.4900	5.0135	105.0000	526.0000
7533	5.0120	-11.8100	5.0002	117.4000	590.0000
7636	5.0200	-10.4800	5.0095	104.6000	524.0000
7739	5.0240	-10.5400	5.0135	104.4000	524.0000
7842	5.0160	-10.4100	5.0056	111.6000	519.0000
7945	5.0240	-10.4100	5.0136	104.0000	523.0000
8048	5.0240	-10.3400	5.0137	103.7000	519.0000
8151	5.0160	-10.3600	5.0056	118.1000	593.0000
8254	5.0240	-10.4000	5.0136	105.6000	514.0000
8357	5.0160	-10.4100	5.0056	118.3000	593.0000
8460	5.0200	-10.4400	5.0096	104.7000	613.0000
