received_at_us,topic,device,window_id,window_start_us,window_end_us,published_at_us,window_start_unix_us,window_end_unix_us,published_at_unix_us,time_sync_ready,edge_delay_us,sample_count,sampling_frequency_hz,dominant_frequency_hz,average_value,listener_latency_us,end_to_end_latency_us,raw_payload
1776461970077655,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":27,""window_start_us"":136015680,""window_end_us"":140990748,""published_at_us"":141343916,""edge_delay_us"":353168,""window_start_unix_us"":1776461963785349,""window_end_unix_us"":1776461968760417,""published_at_unix_us"":1776461969113585,""time_sync_ready"":true,""sample_count"":200,""sam"
1776461974994471,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":28,""window_start_us"":141015680,""window_end_us"":145990748,""published_at_us"":146344352,""edge_delay_us"":353604,""window_start_unix_us"":1776461968785350,""window_end_unix_us"":1776461973760418,""published_at_unix_us"":1776461974114022,""time_sync_ready"":true,""sample_count"":200,""sam"
1776461979909243,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":29,""window_start_us"":146015680,""window_end_us"":150990747,""published_at_us"":151343512,""edge_delay_us"":352765,""window_start_unix_us"":1776461973785352,""window_end_unix_us"":1776461978760419,""published_at_unix_us"":1776461979113184,""time_sync_ready"":true,""sample_count"":200,""sam"
1776461984926963,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":30,""window_start_us"":151015680,""window_end_us"":155990748,""published_at_us"":156344004,""edge_delay_us"":353256,""window_start_unix_us"":1776461978785351,""window_end_unix_us"":1776461983760419,""published_at_unix_us"":1776461984113675,""time_sync_ready"":true,""sample_count"":200,""sam"
1776461989943903,project/adaptive-sampling-node/aggregate,,,,,,,,,,,,,,,,,"{""device"":""adaptive-sampling-node"",""window_id"":31,""window_start_us"":156015680,""window_end_us"":160990753,""published_at_us"":161345875,""edge_delay_us"":355122,""window_start_unix_us"":1776461983785351,""window_end_unix_us"":1776461988760424,""published_at_unix_us"":1776461989115546,""time_sync_ready"":true,""sample_count"":200,""sam"
1776462119689488,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,1,6055917,11011149,11374496,1776462113481161,1776462118436393,1776462118799740,True,363347,200,40.0,5.0,0.0124,889748,1253095,"{""device"":""adaptive-sampling-node"",""window_id"":1,""window_start_us"":6055917,""window_end_us"":11011149,""published_at_us"":11374496,""edge_delay_us"":363347,""window_start_unix_us"":1776462113481161,""window_end_unix_us"":1776462118436393,""published_at_unix_us"":1776462118799740,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":0.0124}"
1776462124705183,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,2,11036084,16011159,16384239,1776462118461330,1776462123436405,1776462123809485,True,373080,200,40.0,5.0,-0.0,895698,1268778,"{""device"":""adaptive-sampling-node"",""window_id"":2,""window_start_us"":11036084,""window_end_us"":16011159,""published_at_us"":16384239,""edge_delay_us"":373080,""window_start_unix_us"":1776462118461330,""window_end_unix_us"":1776462123436405,""published_at_unix_us"":1776462123809485,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776462129619704,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,3,16036084,21011255,21374767,1776462123461332,1776462128436503,1776462128800015,True,363512,200,40.0,5.0,-0.0,819689,1183201,"{""device"":""adaptive-sampling-node"",""window_id"":3,""window_start_us"":16036084,""window_end_us"":21011255,""published_at_us"":21374767,""edge_delay_us"":363512,""window_start_unix_us"":1776462123461332,""window_end_unix_us"":1776462128436503,""published_at_unix_us"":1776462128800015,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776462134637015,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,4,21036084,26011282,26374603,1776462128461339,1776462133436537,1776462133799858,True,363321,200,40.0,5.0,-0.0,837157,1200478,"{""device"":""adaptive-sampling-node"",""window_id"":4,""window_start_us"":21036084,""window_end_us"":26011282,""published_at_us"":26374603,""edge_delay_us"":363321,""window_start_unix_us"":1776462128461339,""window_end_unix_us"":1776462133436537,""published_at_unix_us"":1776462133799858,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
1776462139654628,project/adaptive-sampling-node/aggregate,adaptive-sampling-node,5,26036084,31011149,31375519,1776462133461332,1776462138436397,1776462138800767,True,364370,200,40.0,5.0,-0.0,853861,1218231,"{""device"":""adaptive-sampling-node"",""window_id"":5,""window_start_us"":26036084,""window_end_us"":31011149,""published_at_us"":31375519,""edge_delay_us"":364370,""window_start_unix_us"":1776462133461332,""window_end_unix_us"":1776462138436397,""published_at_unix_us"":1776462138800767,""time_sync_ready"":true,""sample_count"":200,""sampling_frequency_hz"":40.0,""dominant_frequency_hz"":5.00,""average_value"":-0.0000}"
